[2024-10-15 14:32:12.726] [INFO] [__main__] LlmAdvisor joining game 'demo_play_5' as ENGLAND
[2024-10-15 14:32:12.726] [INFO] [diplomacy.client.connection[116843]] Trying to connect.
[2024-10-15 14:32:13.791] [INFO] [diplomacy.client.connection[116843]] Connection succeeds.
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  6.08it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  7.83it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  7.50it/s]
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:00<00:02,  1.19it/s]Loading checkpoint shards:  50%|█████     | 2/4 [00:01<00:01,  1.09it/s]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:02<00:00,  1.07it/s]Loading checkpoint shards: 100%|██████████| 4/4 [00:02<00:00,  1.40it/s]
Some weights of LlamaForSequenceClassification were not initialized from the model checkpoint at meta-llama/Meta-Llama-3.1-8B and are newly initialized: ['score.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
[2024-10-15 14:32:33.673] [INFO] [__main__] Waiting for game to start
[2024-10-15 14:32:35.676] [INFO] [__main__] Still waiting
[2024-10-15 14:32:37.678] [INFO] [__main__] Still waiting
[2024-10-15 14:32:39.681] [INFO] [__main__] Still waiting
[2024-10-15 14:32:41.683] [INFO] [__main__] Still waiting
[2024-10-15 14:32:43.685] [INFO] [__main__] Still waiting
[2024-10-15 14:32:45.688] [INFO] [__main__] Still waiting
[2024-10-15 14:32:47.691] [INFO] [__main__] Still waiting
[2024-10-15 14:32:49.693] [INFO] [__main__] Still waiting
[2024-10-15 14:32:51.695] [INFO] [__main__] Still waiting
[2024-10-15 14:32:53.698] [INFO] [__main__] Still waiting
[2024-10-15 14:32:55.700] [INFO] [__main__] Still waiting
[2024-10-15 14:32:57.702] [INFO] [__main__] Still waiting
[2024-10-15 14:32:59.705] [INFO] [__main__] Still waiting
[2024-10-15 14:33:01.707] [INFO] [__main__] Still waiting
[2024-10-15 14:33:03.709] [INFO] [__main__] Still waiting
[2024-10-15 14:33:05.712] [INFO] [__main__] Still waiting
[2024-10-15 14:33:07.714] [INFO] [__main__] Still waiting
[2024-10-15 14:33:09.716] [INFO] [__main__] Still waiting
[2024-10-15 14:33:11.718] [INFO] [__main__] Still waiting
[2024-10-15 14:33:13.720] [INFO] [__main__] Still waiting
[2024-10-15 14:33:15.723] [INFO] [__main__] Still waiting
[2024-10-15 14:33:17.724] [INFO] [__main__] Still waiting
[2024-10-15 14:33:19.726] [INFO] [__main__] Still waiting
[2024-10-15 14:33:21.729] [INFO] [__main__] Still waiting
[2024-10-15 14:33:23.731] [INFO] [__main__] Still waiting
[2024-10-15 14:33:25.734] [INFO] [__main__] Still waiting
[2024-10-15 14:33:27.736] [INFO] [__main__] Still waiting
[2024-10-15 14:33:29.738] [INFO] [__main__] Still waiting
[2024-10-15 14:33:31.741] [INFO] [__main__] Still waiting
[2024-10-15 14:33:33.743] [INFO] [__main__] Still waiting
[2024-10-15 14:33:35.745] [INFO] [__main__] Still waiting
[2024-10-15 14:33:37.748] [INFO] [__main__] Still waiting
[2024-10-15 14:33:39.750] [INFO] [__main__] Still waiting
[2024-10-15 14:33:41.752] [INFO] [__main__] Still waiting
[2024-10-15 14:33:43.755] [INFO] [__main__] Still waiting
[2024-10-15 14:33:45.758] [INFO] [__main__] Still waiting
[2024-10-15 14:33:47.760] [INFO] [__main__] Still waiting
[2024-10-15 14:33:49.762] [INFO] [__main__] Still waiting
[2024-10-15 14:33:51.765] [INFO] [__main__] Still waiting
[2024-10-15 14:33:53.767] [INFO] [__main__] Still waiting
[2024-10-15 14:33:55.769] [INFO] [__main__] Still waiting
[2024-10-15 14:33:57.772] [INFO] [__main__] Still waiting
[2024-10-15 14:33:59.774] [INFO] [__main__] Still waiting
[2024-10-15 14:34:01.776] [INFO] [__main__] Still waiting
[2024-10-15 14:34:03.778] [INFO] [__main__] Still waiting
[2024-10-15 14:34:05.780] [INFO] [__main__] Still waiting
[2024-10-15 14:34:07.783] [INFO] [__main__] Still waiting
[2024-10-15 14:34:09.785] [INFO] [__main__] Still waiting
[2024-10-15 14:34:11.787] [INFO] [__main__] Still waiting
[2024-10-15 14:34:13.790] [INFO] [__main__] Still waiting
[2024-10-15 14:34:15.793] [INFO] [__main__] Still waiting
[2024-10-15 14:34:17.795] [INFO] [__main__] Still waiting
[2024-10-15 14:34:19.797] [INFO] [__main__] Still waiting
[2024-10-15 14:34:21.800] [INFO] [__main__] Still waiting
[2024-10-15 14:34:23.802] [INFO] [__main__] Still waiting
[2024-10-15 14:34:25.804] [INFO] [__main__] Still waiting
[2024-10-15 14:34:27.806] [INFO] [__main__] Still waiting
[2024-10-15 14:34:29.809] [INFO] [__main__] Still waiting
[2024-10-15 14:34:31.811] [INFO] [__main__] Still waiting
[2024-10-15 14:34:33.814] [INFO] [__main__] Still waiting
[2024-10-15 14:34:35.816] [INFO] [__main__] Still waiting
[2024-10-15 14:34:37.818] [INFO] [__main__] Still waiting
[2024-10-15 14:34:39.821] [INFO] [__main__] Still waiting
[2024-10-15 14:34:41.823] [INFO] [__main__] Still waiting
[2024-10-15 14:34:43.825] [INFO] [__main__] Still waiting
[2024-10-15 14:34:45.826] [INFO] [__main__] Still waiting
[2024-10-15 14:34:47.828] [INFO] [__main__] Still waiting
[2024-10-15 14:34:49.831] [INFO] [__main__] Still waiting
[2024-10-15 14:34:51.833] [INFO] [__main__] Still waiting
[2024-10-15 14:34:53.835] [INFO] [__main__] Still waiting
[2024-10-15 14:34:55.838] [INFO] [__main__] Still waiting
[2024-10-15 14:34:57.840] [INFO] [__main__] Still waiting
[2024-10-15 14:34:59.842] [INFO] [__main__] Still waiting
[2024-10-15 14:35:01.845] [INFO] [__main__] Still waiting
[2024-10-15 14:35:03.847] [INFO] [__main__] Still waiting
[2024-10-15 14:35:05.849] [INFO] [__main__] Still waiting
[2024-10-15 14:35:07.852] [INFO] [__main__] Still waiting
[2024-10-15 14:35:09.854] [INFO] [__main__] Still waiting
[2024-10-15 14:35:11.856] [INFO] [__main__] Still waiting
[2024-10-15 14:35:13.859] [INFO] [__main__] Still waiting
[2024-10-15 14:35:15.861] [INFO] [__main__] Still waiting
[2024-10-15 14:35:17.863] [INFO] [__main__] Still waiting
[2024-10-15 14:35:19.866] [INFO] [__main__] Still waiting
[2024-10-15 14:35:21.868] [INFO] [__main__] Still waiting
[2024-10-15 14:35:23.870] [INFO] [__main__] Still waiting
[2024-10-15 14:35:25.872] [INFO] [__main__] Still waiting
[2024-10-15 14:35:27.874] [INFO] [__main__] Still waiting
[2024-10-15 14:35:29.877] [INFO] [__main__] Still waiting
[2024-10-15 14:35:31.879] [INFO] [__main__] Still waiting
[2024-10-15 14:35:33.881] [INFO] [__main__] Still waiting
[2024-10-15 14:35:35.883] [INFO] [__main__] Still waiting
[2024-10-15 14:35:37.885] [INFO] [__main__] Still waiting
[2024-10-15 14:35:39.887] [INFO] [__main__] Still waiting
[2024-10-15 14:35:41.890] [INFO] [__main__] Still waiting
[2024-10-15 14:35:43.891] [INFO] [__main__] Still waiting
[2024-10-15 14:35:45.893] [INFO] [__main__] Still waiting
[2024-10-15 14:35:47.895] [INFO] [__main__] Still waiting
[2024-10-15 14:35:49.897] [INFO] [__main__] Still waiting
[2024-10-15 14:35:51.900] [INFO] [__main__] Still waiting
[2024-10-15 14:35:53.902] [INFO] [__main__] Still waiting
[2024-10-15 14:35:55.904] [INFO] [__main__] Still waiting
[2024-10-15 14:35:57.907] [INFO] [__main__] Still waiting
[2024-10-15 14:35:59.909] [INFO] [__main__] Still waiting
[2024-10-15 14:36:01.911] [INFO] [__main__] Still waiting
[2024-10-15 14:36:03.914] [INFO] [__main__] Still waiting
[2024-10-15 14:36:05.916] [INFO] [__main__] Still waiting
[2024-10-15 14:36:07.918] [INFO] [__main__] Still waiting
[2024-10-15 14:36:09.921] [INFO] [__main__] Still waiting
[2024-10-15 14:36:11.923] [INFO] [__main__] Still waiting
[2024-10-15 14:36:13.924] [INFO] [__main__] Still waiting
[2024-10-15 14:36:15.925] [INFO] [__main__] Still waiting
[2024-10-15 14:36:17.927] [INFO] [__main__] Still waiting
[2024-10-15 14:36:19.930] [INFO] [__main__] Still waiting
[2024-10-15 14:36:21.932] [INFO] [__main__] Still waiting
[2024-10-15 14:36:23.935] [INFO] [__main__] Still waiting
[2024-10-15 14:36:25.936] [INFO] [__main__] Still waiting
[2024-10-15 14:36:27.938] [INFO] [__main__] Still waiting
[2024-10-15 14:36:29.940] [INFO] [__main__] Still waiting
[2024-10-15 14:36:31.942] [INFO] [__main__] Still waiting
[2024-10-15 14:36:33.945] [INFO] [__main__] Still waiting
[2024-10-15 14:36:35.947] [INFO] [__main__] Still waiting
[2024-10-15 14:36:37.949] [INFO] [__main__] Still waiting
[2024-10-15 14:36:39.951] [INFO] [__main__] Still waiting
[2024-10-15 14:36:41.953] [INFO] [__main__] Still waiting
[2024-10-15 14:36:43.954] [INFO] [__main__] Still waiting
[2024-10-15 14:36:45.957] [INFO] [__main__] Still waiting
[2024-10-15 14:36:47.959] [INFO] [__main__] Still waiting
[2024-10-15 14:36:49.961] [INFO] [__main__] Still waiting
[2024-10-15 14:36:51.964] [INFO] [__main__] Still waiting
[2024-10-15 14:36:53.966] [INFO] [__main__] Still waiting
[2024-10-15 14:36:55.968] [INFO] [__main__] Still waiting
[2024-10-15 14:36:57.971] [INFO] [__main__] Still waiting
[2024-10-15 14:36:59.973] [INFO] [__main__] Still waiting
[2024-10-15 14:37:01.975] [INFO] [__main__] Still waiting
[2024-10-15 14:37:03.977] [INFO] [__main__] Still waiting
[2024-10-15 14:37:05.980] [INFO] [__main__] Still waiting
[2024-10-15 14:37:07.982] [INFO] [__main__] Still waiting
[2024-10-15 14:37:09.985] [INFO] [__main__] Still waiting
[2024-10-15 14:37:11.987] [INFO] [__main__] Still waiting
[2024-10-15 14:37:13.988] [INFO] [__main__] Still waiting
[2024-10-15 14:37:15.990] [INFO] [__main__] Still waiting
[2024-10-15 14:37:17.993] [INFO] [__main__] Still waiting
[2024-10-15 14:37:19.995] [INFO] [__main__] Still waiting
[2024-10-15 14:37:21.997] [INFO] [__main__] Still waiting
[2024-10-15 14:37:23.999] [INFO] [__main__] Still waiting
[2024-10-15 14:37:23.999] [INFO] [__main__] Started playing
